time,key,x,y,z,roll,pitch,yaw,roll_vel,pitch_vel
1.192000,-1,0.005306,-0.000000,0.085720,0.000001,-0.069713,-3.141586,0.000000,0.000050
1.200000,-1,0.005306,-0.000000,0.085720,0.000001,-0.069713,-3.141586,0.000000,0.000050
1.208000,-1,0.005306,-0.000000,0.085720,0.000001,-0.069712,-3.141586,0.000000,0.000051
1.216000,-1,0.005306,-0.000000,0.085721,0.000001,-0.069712,-3.141586,0.000000,0.000051
1.224000,-1,0.005306,-0.000000,0.085721,0.000001,-0.069711,-3.141586,0.000000,0.000052
1.232000,-1,0.005306,-0.000000,0.085721,0.000001,-0.069711,-3.141586,0.000000,0.000052
1.240000,-1,0.005306,-0.000000,0.085721,0.000001,-0.069710,-3.141586,0.000000,0.000052
1.248000,-1,0.005306,-0.000000,0.085721,0.000001,-0.069710,-3.141586,0.000000,0.000052
1.256000,-1,0.005306,-0.000000,0.085721,0.000001,-0.069710,-3.141586,0.000000,0.000053
1.264000,-1,0.005306,-0.000000,0.085722,0.000001,-0.069709,-3.141586,0.000000,0.000053
1.272000,-1,0.005306,-0.000000,0.085722,0.000001,-0.069709,-3.141586,0.000000,0.000053
1.280000,-1,0.005306,-0.000000,0.085722,0.000001,-0.069708,-3.141586,0.000000,0.000054
1.288000,-1,0.005306,-0.000000,0.085722,0.000001,-0.069708,-3.141586,0.000000,0.000054
1.296000,-1,0.005306,-0.000000,0.085722,0.000001,-0.069707,-3.141586,0.000000,0.000054
1.304000,-1,0.005306,-0.000000,0.085722,0.000001,-0.069707,-3.141586,0.000000,0.000055
1.312000,-1,0.005306,-0.000000,0.085723,0.000001,-0.069707,-3.141586,0.000000,0.000055
1.320000,-1,0.005306,-0.000000,0.085723,0.000001,-0.069706,-3.141586,0.000000,0.000055
1.328000,-1,0.005306,-0.000000,0.085723,0.000001,-0.069706,-3.141586,0.000000,0.000056
1.336000,-1,0.005306,-0.000000,0.085723,0.000001,-0.069705,-3.141586,0.000000,0.000056
1.344000,-1,0.005305,-0.000000,0.085723,0.000001,-0.069705,-3.141586,0.000000,0.000057
1.352000,-1,0.005305,-0.000000,0.085723,0.000001,-0.069704,-3.141586,0.000000,0.000057
1.360000,-1,0.005305,-0.000000,0.085724,0.000001,-0.069704,-3.141586,0.000000,0.000057
1.368000,-1,0.005305,-0.000000,0.085724,0.000001,-0.069703,-3.141586,0.000000,0.000058
1.376000,-1,0.005305,-0.000000,0.085724,0.000001,-0.069703,-3.141586,0.000000,0.000058
1.384000,-1,0.005305,-0.000000,0.085724,0.000001,-0.069702,-3.141586,0.000000,0.000058
1.392000,-1,0.005305,-0.000000,0.085724,0.000001,-0.069702,-3.141586,0.000000,0.000059
1.400000,-1,0.005305,-0.000000,0.085725,0.000001,-0.069702,-3.141586,0.000000,0.000059
1.408000,-1,0.005305,-0.000000,0.085725,0.000001,-0.069701,-3.141586,0.000000,0.000059
1.416000,-1,0.005305,-0.000000,0.085725,0.000001,-0.069701,-3.141586,0.000000,0.000060
1.424000,-1,0.005305,-0.000000,0.085725,0.000001,-0.069700,-3.141586,0.000000,0.000060
1.432000,-1,0.005305,-0.000000,0.085725,0.000001,-0.069700,-3.141586,0.000000,0.000060
1.440000,-1,0.005305,-0.000000,0.085726,0.000001,-0.069699,-3.141586,0.000000,0.000061
1.448000,-1,0.005305,-0.000000,0.085726,0.000001,-0.069699,-3.141586,0.000000,0.000061
1.456000,-1,0.005305,-0.000000,0.085726,0.000001,-0.069698,-3.141586,0.000000,0.000061
1.464000,-1,0.005305,-0.000000,0.085726,0.000001,-0.069698,-3.141586,0.000000,0.000062
1.472000,-1,0.005305,-0.000000,0.085726,0.000001,-0.069697,-3.141586,0.000000,0.000062
1.480000,-1,0.005305,-0.000000,0.085726,0.000001,-0.069697,-3.141586,0.000000,0.000062
1.488000,-1,0.005305,-0.000000,0.085727,0.000001,-0.069696,-3.141586,0.000000,0.000063
1.496000,-1,0.005305,-0.000000,0.085727,0.000001,-0.069696,-3.141586,0.000000,0.000063
1.504000,-1,0.005305,-0.000000,0.085727,0.000001,-0.069695,-3.141586,0.000000,0.000063
1.512000,-1,0.005305,-0.000000,0.085727,0.000001,-0.069695,-3.141586,0.000000,0.000064
1.520000,-1,0.005305,-0.000000,0.085727,0.000001,-0.069694,-3.141586,0.000000,0.000064
1.528000,-1,0.005305,-0.000000,0.085728,0.000001,-0.069694,-3.141586,0.000000,0.000064
1.536000,-1,0.005305,-0.000000,0.085728,0.000001,-0.069693,-3.141586,0.000000,0.000065
1.544000,-1,0.005305,-0.000000,0.085728,0.000001,-0.069693,-3.141586,0.000000,0.000065
1.552000,-1,0.005305,-0.000000,0.085728,0.000001,-0.069692,-3.141586,0.000000,0.000066
1.560000,-1,0.005305,-0.000000,0.085729,0.000001,-0.069691,-3.141586,0.000000,0.000066
1.568000,-1,0.005305,-0.000000,0.085729,0.000001,-0.069691,-3.141586,0.000000,0.000066
1.576000,-1,0.005305,-0.000000,0.085729,0.000001,-0.069690,-3.141586,0.000000,0.000067
1.584000,-1,0.005305,-0.000000,0.085729,0.000001,-0.069690,-3.141586,0.000000,0.000067
1.592000,-1,0.005305,-0.000000,0.085729,0.000001,-0.069689,-3.141586,0.000000,0.000067
1.600000,-1,0.005305,-0.000000,0.085730,0.000001,-0.069689,-3.141586,0.000000,0.000068
1.608000,-1,0.005304,-0.000000,0.085730,0.000001,-0.069688,-3.141586,0.000000,0.000068
1.616000,-1,0.005304,-0.000000,0.085730,0.000001,-0.069688,-3.141586,0.000000,0.000068
1.624000,-1,0.005304,-0.000000,0.085730,0.000001,-0.069687,-3.141586,0.000000,0.000069
1.632000,-1,0.005304,-0.000000,0.085730,0.000001,-0.069687,-3.141586,0.000000,0.000069
1.640000,-1,0.005304,-0.000000,0.085731,0.000001,-0.069686,-3.141586,0.000000,0.000069
1.648000,-1,0.005304,-0.000000,0.085731,0.000001,-0.069685,-3.141586,0.000000,0.000070
1.656000,-1,0.005304,-0.000000,0.085731,0.000001,-0.069685,-3.141586,0.000000,0.000070
1.664000,-1,0.005304,-0.000000,0.085731,0.000001,-0.069684,-3.141586,0.000000,0.000070
1.672000,-1,0.005304,-0.000000,0.085732,0.000001,-0.069684,-3.141586,0.000000,0.000071
1.680000,-1,0.005304,-0.000000,0.085732,0.000001,-0.069683,-3.141586,0.000000,0.000071
1.688000,-1,0.005304,-0.000000,0.085732,0.000001,-0.069683,-3.141586,0.000000,0.000071
1.696000,-1,0.005304,-0.000000,0.085732,0.000001,-0.069682,-3.141586,0.000000,0.000072
1.704000,-1,0.005304,-0.000000,0.085732,0.000001,-0.069681,-3.141586,0.000000,0.000072
1.712000,-1,0.005304,-0.000000,0.085733,0.000001,-0.069681,-3.141586,0.000000,0.000072
1.720000,-1,0.005304,-0.000000,0.085733,0.000001,-0.069680,-3.141586,0.000000,0.000073
1.728000,-1,0.005304,-0.000000,0.085733,0.000001,-0.069680,-3.141586,0.000000,0.000073
1.736000,-1,0.005304,-0.000000,0.085733,0.000001,-0.069679,-3.141586,0.000000,0.000074
1.744000,-1,0.005304,-0.000000,0.085734,0.000001,-0.069679,-3.141586,0.000000,0.000074
1.752000,-1,0.005304,-0.000000,0.085734,0.000001,-0.069678,-3.141586,0.000000,0.000074
1.760000,-1,0.005304,-0.000000,0.085734,0.000001,-0.069677,-3.141586,0.000000,0.000075
1.768000,-1,0.005304,-0.000000,0.085734,0.000001,-0.069677,-3.141586,0.000000,0.000075
1.776000,-1,0.005304,-0.000000,0.085735,0.000001,-0.069676,-3.141586,0.000000,0.000075
1.784000,-1,0.005304,-0.000000,0.085735,0.000001,-0.069675,-3.141586,0.000000,0.000076
1.792000,-1,0.005304,-0.000000,0.085735,0.000001,-0.069675,-3.141586,0.000000,0.000076
1.800000,-1,0.005304,-0.000000,0.085735,0.000001,-0.069674,-3.141586,0.000000,0.000076
1.808000,-1,0.005304,-0.000000,0.085735,0.000001,-0.069674,-3.141586,0.000000,0.000077
1.816000,-1,0.005304,-0.000000,0.085736,0.000001,-0.069673,-3.141586,0.000000,0.000077
1.824000,-1,0.005304,-0.000000,0.085736,0.000001,-0.069672,-3.141586,0.000000,0.000077
1.832000,-1,0.005304,-0.000000,0.085736,0.000001,-0.069672,-3.141586,0.000000,0.000078
1.840000,-1,0.005303,-0.000000,0.085736,0.000001,-0.069671,-3.141586,0.000000,0.000078
1.848000,-1,0.005303,-0.000000,0.085737,0.000001,-0.069671,-3.141586,0.000000,0.000078
1.856000,-1,0.005303,-0.000000,0.085737,0.000001,-0.069670,-3.141586,0.000000,0.000079
1.864000,-1,0.005303,-0.000000,0.085737,0.000001,-0.069669,-3.141586,0.000000,0.000079
1.872000,-1,0.005303,-0.000000,0.085737,0.000001,-0.069669,-3.141586,0.000000,0.000079
1.880000,-1,0.005303,-0.000000,0.085738,0.000001,-0.069668,-3.141586,0.000000,0.000080
1.888000,-1,0.005303,-0.000000,0.085738,0.000001,-0.069667,-3.141586,0.000000,0.000080
1.896000,-1,0.005303,-0.000000,0.085738,0.000001,-0.069667,-3.141586,0.000000,0.000080
1.904000,-1,0.005303,-0.000000,0.085738,0.000001,-0.069666,-3.141586,0.000000,0.000081
1.912000,-1,0.005303,-0.000000,0.085739,0.000001,-0.069665,-3.141586,0.000000,0.000081
1.920000,-1,0.005303,-0.000000,0.085739,0.000001,-0.069665,-3.141586,0.000000,0.000082
1.928000,-1,0.005303,-0.000000,0.085739,0.000001,-0.069664,-3.141586,0.000000,0.000082
1.936000,-1,0.005303,-0.000000,0.085740,0.000001,-0.069663,-3.141586,0.000000,0.000082
1.944000,-1,0.005303,-0.000000,0.085740,0.000001,-0.069663,-3.141586,0.000000,0.000083
1.952000,-1,0.005303,-0.000000,0.085740,0.000001,-0.069662,-3.141586,0.000000,0.000083
1.960000,-1,0.005303,-0.000000,0.085740,0.000001,-0.069661,-3.141586,0.000000,0.000083
1.968000,-1,0.005303,-0.000000,0.085741,0.000001,-0.069661,-3.141586,0.000000,0.000084
1.976000,-1,0.005303,-0.000000,0.085741,0.000001,-0.069660,-3.141586,0.000000,0.000084
1.984000,-1,0.005303,-0.000000,0.085741,0.000001,-0.069659,-3.141586,0.000000,0.000084
1.992000,-1,0.005303,-0.000000,0.085741,0.000001,-0.069659,-3.141586,0.000000,0.000085
2.000000,-1,0.005303,-0.000000,0.085742,0.000001,-0.069658,-3.141586,0.000000,0.000085
2.008000,-1,0.005303,-0.000000,0.085742,0.000001,-0.069657,-3.141586,0.000000,0.000085
2.016000,-1,0.005303,-0.000000,0.085742,0.000001,-0.069657,-3.141586,0.000000,0.000086
2.024000,-1,0.005303,-0.000000,0.085742,0.000001,-0.069656,-3.141586,0.000000,0.000086
2.032000,-1,0.005303,-0.000000,0.085743,0.000001,-0.069655,-3.141586,0.000000,0.000086
2.040000,-1,0.005303,-0.000000,0.085743,0.000001,-0.069655,-3.141586,0.000000,0.000087
2.048000,-1,0.005302,-0.000000,0.085743,0.000001,-0.069654,-3.141586,0.000000,0.000087
2.056000,-1,0.005302,-0.000000,0.085744,0.000001,-0.069653,-3.141586,0.000000,0.000087
2.064000,-1,0.005302,-0.000000,0.085744,0.000001,-0.069652,-3.141586,0.000000,0.000088
2.072000,-1,0.005302,-0.000000,0.085744,0.000001,-0.069652,-3.141586,0.000000,0.000088
2.080000,-1,0.005302,-0.000000,0.085744,0.000001,-0.069651,-3.141586,0.000000,0.000088
2.088000,-1,0.005302,-0.000000,0.085745,0.000001,-0.069650,-3.141586,0.000000,0.000089
2.096000,-1,0.005302,-0.000000,0.085745,0.000001,-0.069650,-3.141586,0.000000,0.000089
2.104000,-1,0.005302,-0.000000,0.085745,0.000001,-0.069649,-3.141586,0.000000,0.000090
2.112000,-1,0.005302,-0.000000,0.085745,0.000001,-0.069648,-3.141586,0.000000,0.000090
2.120000,-1,0.005302,-0.000000,0.085746,0.000001,-0.069647,-3.141586,0.000000,0.000090
2.128000,-1,0.005302,-0.000000,0.085746,0.000001,-0.069647,-3.141586,0.000000,0.000091
2.136000,-1,0.005302,-0.000000,0.085746,0.000001,-0.069646,-3.141586,0.000000,0.000091
2.144000,-1,0.005302,-0.000000,0.085747,0.000001,-0.069645,-3.141586,0.000000,0.000091
2.152000,-1,0.005302,-0.000000,0.085747,0.000001,-0.069644,-3.141586,0.000000,0.000092
2.160000,-1,0.005302,-0.000000,0.085747,0.000001,-0.069644,-3.141586,0.000000,0.000092
2.168000,-1,0.005302,-0.000000,0.085748,0.000001,-0.069643,-3.141586,0.000000,0.000092
