x,y,z,roll,pitch,yaw
0.005308,-0.000000,0.085710,0.000001,-0.069740,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069740,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069740,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069739,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586
0.005308,-0.000000,0.085710,0.000001,-0.069738,-3.141586
0.005308,-0.000000,0.085711,0.000001,-0.069738,-3.141586
0.005308,-0.000000,0.085711,0.000001,-0.069737,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069737,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069736,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069735,-3.141586
0.005307,-0.000000,0.085711,0.000001,-0.069735,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069735,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069735,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069735,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069734,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069734,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069734,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069734,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586
0.005307,-0.000000,0.085712,0.000001,-0.069733,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069732,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069732,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069732,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069732,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069731,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069731,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069731,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069731,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069730,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069730,-3.141586
0.005307,-0.000000,0.085713,0.000001,-0.069730,-3.141586
0.005307,-0.000000,0.085714,0.000001,-0.069730,-3.141586
0.005307,-0.000000,0.085714,0.000001,-0.069729,-3.141586
0.005307,-0.000000,0.085714,0.000001,-0.069729,-3.141586
0.005307,-0.000000,0.085714,0.000001,-0.069729,-3.141586
0.005307,-0.000000,0.085714,0.000001,-0.069729,-3.141586
0.005307,-0.000000,0.085714,0.000001,-0.069728,-3.141586
0.005307,-0.000000,0.085714,0.000001,-0.069728,-3.141586
0.005307,-0.000000,0.085714,0.000001,-0.069728,-3.141586
0.005307,-0.000000,0.085714,0.000001,-0.069727,-3.141586
0.005307,-0.000000,0.085715,0.000001,-0.069727,-3.141586
0.005307,-0.000000,0.085715,0.000001,-0.069727,-3.141586
0.005307,-0.000000,0.085715,0.000001,-0.069727,-3.141586
0.005307,-0.000000,0.085715,0.000001,-0.069726,-3.141586
0.005307,-0.000000,0.085715,0.000001,-0.069726,-3.141586
0.005307,-0.000000,0.085715,0.000001,-0.069726,-3.141586
0.005307,-0.000000,0.085715,0.000001,-0.069725,-3.141586
0.005307,-0.000000,0.085715,0.000001,-0.069725,-3.141586
0.005307,-0.000000,0.085715,0.000001,-0.069725,-3.141586
0.005307,-0.000000,0.085716,0.000001,-0.069724,-3.141586
0.005307,-0.000000,0.085716,0.000001,-0.069724,-3.141586
0.005307,-0.000000,0.085716,0.000001,-0.069724,-3.141586
0.005307,-0.000000,0.085716,0.000001,-0.069723,-3.141586
0.005307,-0.000000,0.085716,0.000001,-0.069723,-3.141586
0.005307,-0.000000,0.085716,0.000001,-0.069723,-3.141586
0.005307,-0.000000,0.085716,0.000001,-0.069722,-3.141586
0.005307,-0.000000,0.085716,0.000001,-0.069722,-3.141586
